Epoch 0 | Time: 1950 | Nodes: 1034 | Edges: 9854 | log-lik: -15.46 | Elapsed 3.40 s
Epoch 0 | Time: 1951 | Nodes: 951 | Edges: 9629 | log-lik: -14.04 | Elapsed 5.44 s
Epoch 0 | Time: 1952 | Nodes: 694 | Edges: 10672 | log-lik: -12.56 | Elapsed 7.84 s
Epoch 0 | Time: 1953 | Nodes: 641 | Edges: 12177 | log-lik: -296.87 | Elapsed 10.65 s
Epoch 0 | Time: 1954 | Nodes: 655 | Edges: 12532 | log-lik: -680.18 | Elapsed 13.67 s
Epoch 0 | Time: 1955 | Nodes: 751 | Edges: 11793 | log-lik: -12.18 | Elapsed 16.38 s
Epoch 0 | Time: 1956 | Nodes: 731 | Edges: 12686 | log-lik: -11.65 | Elapsed 19.45 s
Epoch 0 | Time: 1957 | Nodes: 775 | Edges: 14000 | log-lik: -16.19 | Elapsed 22.86 s
Epoch 0 | Time: 1958 | Nodes: 937 | Edges: 15298 | log-lik: -10.87 | Elapsed 26.55 s
Epoch 0 | Time: 1959 | Nodes: 889 | Edges: 16272 | log-lik: -68483.94 | Elapsed 30.53 s
Epoch 0 | Time: 1960 | Nodes: 1020 | Edges: 17969 | log-lik: -10.55 | Elapsed 35.13 s
Epoch 0 | Time: 1961 | Nodes: 1074 | Edges: 20557 | log-lik: -18705780.82 | Elapsed 40.19 s
Epoch 0 | Time: 1962 | Nodes: 1113 | Edges: 23430 | log-lik: -5874438205526.64 | Elapsed 46.17 s
Epoch 0 | Time: 1963 | Nodes: 1196 | Edges: 26169 | log-lik: -6.49 | Elapsed 53.17 s
Epoch 0 | Time: 1964 | Nodes: 1299 | Edges: 31666 | log-lik: -9.95 | Elapsed 61.54 s
Epoch 0 | Time: 1965 | Nodes: 1944 | Edges: 34589 | log-lik: -12.53 | Elapsed 71.12 s
Epoch 0 | Time: 1966 | Nodes: 1876 | Edges: 37823 | log-lik: -10.77 | Elapsed 81.19 s
