Epoch 0 | Time: 1947 | Nodes: 1433 | Edges: 797 | log-lik: -1.48 | Elapsed 1.40 s
Epoch 0 | Time: 1948 | Nodes: 2488 | Edges: 2569 | log-lik: -1.44 | Elapsed 2.12 s
Epoch 0 | Time: 1949 | Nodes: 2064 | Edges: 3636 | log-lik: -1.43 | Elapsed 3.07 s
Epoch 0 | Time: 1950 | Nodes: 2203 | Edges: 8987 | log-lik: -1.47 | Elapsed 5.17 s
Epoch 0 | Time: 1951 | Nodes: 2534 | Edges: 10680 | log-lik: -1.51 | Elapsed 7.69 s
Epoch 0 | Time: 1952 | Nodes: 2115 | Edges: 10845 | log-lik: -1.49 | Elapsed 10.19 s
Epoch 0 | Time: 1953 | Nodes: 2161 | Edges: 14531 | log-lik: -1.51 | Elapsed 13.60 s
Epoch 0 | Time: 1954 | Nodes: 2161 | Edges: 16109 | log-lik: -1.46 | Elapsed 17.45 s
Epoch 0 | Time: 1955 | Nodes: 2170 | Edges: 15962 | log-lik: -1.44 | Elapsed 21.08 s
Epoch 0 | Time: 1956 | Nodes: 2240 | Edges: 14022 | log-lik: -1.55 | Elapsed 24.04 s
Epoch 0 | Time: 1957 | Nodes: 2249 | Edges: 13806 | log-lik: -1.41 | Elapsed 27.46 s
Epoch 0 | Time: 1958 | Nodes: 2251 | Edges: 13915 | log-lik: -1.40 | Elapsed 30.70 s
Epoch 0 | Time: 1959 | Nodes: 2590 | Edges: 16469 | log-lik: -1.43 | Elapsed 34.55 s
Epoch 0 | Time: 1960 | Nodes: 2541 | Edges: 18891 | log-lik: -1.47 | Elapsed 38.87 s
Epoch 0 | Time: 1961 | Nodes: 2827 | Edges: 22018 | log-lik: -4.21 | Elapsed 44.16 s
Epoch 0 | Time: 1962 | Nodes: 3591 | Edges: 32244 | log-lik: -2.18 | Elapsed 51.03 s
Epoch 0 | Time: 1963 | Nodes: 4061 | Edges: 66825 | log-lik: -1.49 | Elapsed 69.25 s
Epoch 0 | Time: 1964 | Nodes: 4449 | Edges: 93918 | log-lik: -1.40 | Elapsed 95.95 s
Epoch 0 | Time: 1965 | Nodes: 4782 | Edges: 89435 | log-lik: -1.45 | Elapsed 120.11 s
Epoch 0 | Time: 1966 | Nodes: 5246 | Edges: 94468 | log-lik: -2.54 | Elapsed 147.04 s
Epoch 0 | Time: 1967 | Nodes: 5572 | Edges: 111718 | log-lik: -1.86 | Elapsed 181.75 s
Epoch 0 | Time: 1968 | Nodes: 5402 | Edges: 127333 | log-lik: -2.36 | Elapsed 224.21 s
Epoch 0 | Time: 1969 | Nodes: 5363 | Edges: 135743 | log-lik: -1.55 | Elapsed 270.76 s
Epoch 0 | Time: 1970 | Nodes: 5664 | Edges: 136622 | log-lik: -1.78 | Elapsed 317.44 s
Epoch 0 | Time: 1971 | Nodes: 6050 | Edges: 145354 | log-lik: -1.95 | Elapsed 368.95 s
Epoch 0 | Time: 1972 | Nodes: 6161 | Edges: 154567 | log-lik: -1.67 | Elapsed 423.21 s
Epoch 0 | Time: 1973 | Nodes: 6464 | Edges: 158803 | log-lik: -1.98 | Elapsed 477.89 s
Epoch 0 | Time: 1974 | Nodes: 7486 | Edges: 161710 | log-lik: -2.00 | Elapsed 535.00 s
Epoch 0 | Time: 1975 | Nodes: 7986 | Edges: 161050 | log-lik: -1.98 | Elapsed 589.04 s
Epoch 0 | Time: 1976 | Nodes: 8258 | Edges: 160598 | log-lik: -2.02 | Elapsed 642.32 s
